Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
The Archers;Independent Producers,Black Narcissus,United Kingdom,Deborah Kerr;David Farrar;Flora Robson,Michael Powell;Emeric Pressburger,Drama,https://www.imdb.com/title/tt0039192/?ref_=adv_li_tt,"April 24, 1947"
Hammer Films,Horror of Dracula,United Kingdom,Peter Cushing;Christopher Lee;Michael Gough,Terence Fisher,Drama;Horror,https://www.imdb.com/title/tt0051554/?ref_=adv_li_tt,"May 8, 1958"
London Film Productions,The Scarlet Pimpernel,United Kingdom,Leslie Howard;Merle Oberon;Raymond Massey,Harold Young,Adventure;Drama,https://www.imdb.com/title/tt0025748/?ref_=adv_li_tt,"December 20, 1934"
London Film Productions,The Third Man,United Kingdom,Orson Welles;Joseph Cotten;Alida Valli,Carol Reed,Film-Noir;Mystery;Thriller,https://www.imdb.com/title/tt0041959/?ref_=adv_li_tt,September 1949
Horizon Pictures (II),The Bridge on the River Kwai,United Kingdom;United States,William Holden;Alec Guinness;Jack Hawkins,David Lean,Adventure;Drama;War,https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt,"October 2, 1957"
Michael Powell (Theatre),Peeping Tom,United Kingdom,Karlheinz Böhm;Anna Massey;Moira Shearer,Michael Powell,Drama;Horror;Thriller,https://www.imdb.com/title/tt0054167/?ref_=adv_li_tt,"April 7, 1960"
London Film Productions;British Lion Film Corporation,Hobson's Choice,United Kingdom,Charles Laughton;John Mills;Brenda de Banzie,David Lean,Comedy;Drama;Romance,https://www.imdb.com/title/tt0047094/?ref_=adv_li_tt,"February 19, 1954"
The Archers;Independent Producers,The Red Shoes,United Kingdom,Anton Walbrook;Marius Goring;Moira Shearer,Michael Powell;Emeric Pressburger,Drama;Music;Romance,https://www.imdb.com/title/tt0040725/?ref_=adv_li_tt,"July 22, 1948"
Hammer Films,The Curse of Frankenstein,United Kingdom,Peter Cushing;Hazel Court;Robert Urquhart,Terence Fisher,Horror;Sci-Fi;Thriller,https://www.imdb.com/title/tt0050280/?ref_=adv_li_tt,"May 2, 1957"
Hammer Films,The Brides of Dracula,United Kingdom,Peter Cushing;Martita Hunt;Yvonne Monlaur,Terence Fisher,Horror,https://www.imdb.com/title/tt0053677/?ref_=adv_li_tt,"June 3, 1960"
